POI_INDEX,TOTAL_REVIEWS,RANKING,RATINGS,ADDRESS,OPENING_HOURS,ATTRIBUTES_CRAWLED_TIME
0,16661,0,4.8,"8 Sentosa Gateway, Sentosa Island Singapore",全年  10:00-19:00；其他特殊日期开放时间如下： 1、开放时间为10:00-20:00的日期有1月11/18/、3月15-20日、3月22日；2、开放时间为10:00-21:00的日期有1月24-31日、2月1/2/8/15/22/29、3月14/21/28日。  4、另外：1月24-26日晚上21点有烟火秀；5、以上开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准。。,2020-02-04 17:48:38.615448
1,6518,1,4.8,"18 Marina Gardens Dr, Singapore 018953",全年  09:00-21:00；云雾林+花穹+ocbc空中走道：9:00-21:00（最晚入园时间20:00）；室外花园开放时间：5:00am-2:00pm；远东儿童乐园：周二-周五10:00-19:00；周末及假期：9:00-21:00；。,2020-02-04 17:49:04.630383
2,4000,2,4.7,Sentosa Island,以景区当天安排为准。,2020-02-04 17:49:23.510295
3,2110,3,4.5,"OrchardRd,Singapore",全天开放,2020-02-04 17:49:47.741198
4,2470,4,4.6,"3E River Valley Rd, Singapore 179024",09:00 — 22:00。,2020-02-04 17:50:06.282696
5,6167,5,4.7,80 Mandai Lake Road Singapore 729826,全年  08:30-18:00；8:30-18:00（周一-周日）（最晚入园时间17：30）。,2020-02-04 17:50:44.416328
6,1357,6,4.3,"48SerangoonRoad,#02-16,LittleIndiaArcadeSingapore217959",全天开放,2020-02-04 17:51:06.703457
7,1204,7,4.3,",Chinatown,PagodaStreet,TrengganuStreet,SagoStreet,SmithStSingapore050005",全天开放,2020-02-04 17:51:28.512363
8,3651,8,4.7,30 Raffles Avenue Singapore 039803,每天上午 8:30 至晚上 10:30 （售票处开放至晚上 10:00）。,2020-02-04 17:51:48.705703
9,6323,9,4.7,"8 Sentosa Gateway, Sentosa Island",全年  10:00-19:00；1、其中SEA海洋馆特殊日期开放时间为10:00-18:00的日期1月13日、2月24日；10:00-20:00的日期1月25/26日。  2、海事博物馆特殊开放时间为10:00-20:00的日期：1月25/26日；开放时间为10:00-18:00的日期：2月24日。3、此开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准；。,2020-02-04 17:52:17.349458
10,1719,10,4.5,浮尔顿一号（浮尔顿酒店正前方）,全年  全天开放。,2020-02-04 17:52:37.249484
11,3448,11,4.4,"80 Mandai Lake Rd, Singapore",全年  19:15-23:55；19:15-24:00（周一-周日）（最晚入园时间23:15）。,2020-02-04 17:53:15.959713
12,554,12,4.6,10 Bayfront Avenue，Singapore 018956,全天开放,2020-02-04 17:53:33.808643
13,706,13,4.6,"1 Cluny Rd, Singapore 259569",新加坡植物园5:00-24:00。国家胡姬花园8:30-19:00，最后进入时间为18:00。。,2020-02-04 17:53:56.837180
14,578,14,4.7,"8 Sentosa Gateway, Sentosa Island, Singapore 098269",全天开放（餐厅营业时间各不相同，请参考具体产品的营业时间）,2020-02-04 17:54:36.954203
15,429,15,4.4,"1EsplanadeDrive,Singapore038981",周一-周五10:00-20:00，周六11:00-20:00，周日关闭。,2020-02-04 17:54:59.391210
16,3274,16,4.8,"Imbiah Lookout 51 Cable Car Road | 45 Siloso Beach Walk, Sentosa Island 099003",全年  10:00-21:30；最晚入园时间21:15。,2020-02-04 17:56:10.017703
17,847,17,4.6,"93 Stanford Road, Singapore",10:00 AM - 19:00 PM。,2020-02-04 17:56:39.240754
18,418,18,4.7,10BayfrontAvenueSingapore018956,全天开放 新加坡滨海湾Prudential嘉年华开放时间：至2018年4月1日，16:00至23:00（最后入场时间22:00）,2020-02-04 17:56:58.986916
19,462,19,4.6,"Singapore River, Singapore",City Tours鸭子船：9:30-17:30。DUCKtours鸭子船：10：00至傍晚18：00。克拉码头：09:00 — 22:00。。,2020-02-04 17:57:19.875364
20,462,20,4.4,11StAndrew'sRoad，Singapore178959,周一、周二、周四、周五、周六：9:00-17:00;周三：9:45-17:00;周日：9:00-13:30,2020-02-04 17:57:40.086135
21,756,21,4.5,10 Bayfront Avenue，Singapore,周一-周四：9:30—22:00；	 周五-周日：9:30—23:00。,2020-02-04 17:57:58.817533
22,590,22,4.6,1 St. Andrew’s Road Singapore 178957,10:00-19:00（周一至周四，周六周日）； 10:00-21:00（周五）。,2020-02-04 17:58:25.394631
23,1228,23,4.7,80 Mandai Lake Road Singapore 729826,全年  10:00-19:00；10:00-19:00（周一-周日）最晚入园时间18点30分。,2020-02-04 17:59:01.200117
24,648,24,4.8,"10BayfrontAve,Singapore018956",6:00-23:00，无边泳池（包括南花园和南花园）可能会因私人​​活动而关闭。,2020-02-04 17:59:20.421973
25,2611,25,4.7,"10 Beach View, Sentosa Island 099538, Singapore",全年  13:00-20:40；13:00-20:40为可换票时间，一天有两个表演场次，分别是19:40和20:40。,2020-02-04 18:05:00.631779
26,2070,26,4.8,"8 Sentosa Gateway, Resorts World Sentosa, Singapore 098269",全年  10:00-18:00。,2020-02-04 18:05:25.465178
27,406,27,4.5,"85APalawanBeachWalkSentosa-SwimmingLagoonRest|SouthernmostPoint,SentosaIsland098521,Singapore",全天开放,2020-02-04 18:05:42.717866
28,376,28,4.4,"HajiLn,Singapore",全天开放,2020-02-04 18:06:00.242667
29,274,29,4.4,"3MuscatStreet,Singapore198833",周一-周四、周六、周日10:00-12:00、14:00-16:00，周五14:30-16:00。,2020-02-04 18:06:18.895271
30,895,30,4.7,2 Jurong Hill Singapore 628925,8:30-18:00（周一-周日）（最晚入园时间是17:30）。,2020-02-04 18:06:40.879544
31,210,31,4.5,"30VictoriaStreet,Singapore187996",全天开放,2020-02-04 18:06:58.921089
32,302,32,4.4,"SilosoBeachWalk,Singapore",全天开放,2020-02-04 18:07:21.922255
33,365,33,4.5,"LinkingbetweenMarinaBayandMarinaCentre,Singapore038981,Singapore",全天开放，无需门票。,2020-02-04 18:07:40.996633
34,393,34,4.3,"244SouthBridgeRd,Singapore058793","7:00-11:30,18:00-20:45",2020-02-04 18:07:58.565047
35,629,35,4.6,"6 Bayfront Ave,Singapore 018956",10:00-19:00（最后入场时间为18:00）。,2020-02-04 18:08:20.763401
